Review_title,Review_content
Why,
BAD WRITER MAKES ME WORRY ABOUT FUTURE OF MCU.,"I am a huge MARVEL fan ,yeah even more than you the one reading,Movie as a random watch was really good just because of the actors and the director but the lazy and inexperienced writing ruined such a hyped movies,no background on who America Chavez was,how was she a best friend to Dr. Strange? So many holes in the writing,Like why would they keep talking if Wanda is chasing them? They don't show anything multiversal in this movies ,it's just read is green and green is red that was it ,there was just madness,I really wished a good writer was given the job not some corporate ass kisser. The fight scenes were underwhelming,as you have a big fight you expect anhilation but here not even a window breaks, Story was so bad,Make me sacred for MCUs future and who the fk is even America Chavez anyway?"
A different marvel film,I watched the trailer and went without knowing anything. I was completely blown away by the path that this film took. I don't get why people are hating this film. It deviated from other marvel films but for good. My only criticism is they should've increased the drama a bit more for a proper impact of some scenes.
11 years ago today on date 5/6 I saw my first theatre MCU movie. That movie was Thor,
A great film in spite of a fairly weak plot,
The cinematography was stunning!,
Great Multiverse Movie!,"A great Marvel cinematic movie filled with surprises, magic, cameos, and action! It is entertaining to say the least and it had me intrigued from beginning to end. The post credit scenes were alright, though."
"Solid, minus some of the baggage...","Doctor Strange in the Multiverse of Madness feels like a fantasy literature movie blended with qualities of a horror film so beware of taking young children to watch in theaters! The film is reminiscent of Harry Potter but on steroids. Overall, it is very fast paced and feels a little rushed, but it's held together well enough in specific sequences that gives audiences time to discern and much needed punctuation. The movie is peppered with themes much darker than the usual MCU flick and the director does a well enough job to piece together and answer unanswered questions from previous films and from the WandaVision sitcom. I believe this movie earned a solid 7.5 based on the action and intriguing plot. There were plenty of cringe and groundless inferences and ideas that disappointed me throughout the film but I could understand why those decisions were made by the production crew."
Multiverse of Raminess,"When Multiverse of Madness was first announced it was pitched as Marvels take on a family friendly horror film but as the years have gone by expectation shifted towards a cameo heavy alternative reality fest. While there certainly are alternate realities and cameos its very much the original pitch that dominates proceedings and the right call was definitely made.

Probably more than any other director so far, Sam Rami is given reign to put his stamp all over the movie and he has no time for deep dive multiverse nonsense. In fact the one big cameo section is treated almost as a bait and switch joke which, while it will undoubtedly annoy some fans, works perfectly for this film. Most of runtime plays out like a Terminator film with our heroes trying to escape an unstoppable foe and there are plenty of Rami tricks (and Evil Dead references) along the way, although it it a little (Dr) strange to see this amount of editing in an MCU film.

There are some moments of genuine horror for a family film and, an uninspiring attack on the Wizard stronghold of Kamer-Taj aside, plenty of visual flourishes to match the first Dr Strange movie. There are a couple of problems, attempts to illicit sympathy with villain fall flat and some of the stylistic choices made will put some viewers off but it stands as one of the more unique and interesting Marvel offerings."
I'm left feeling unsure,"My gut feeling about DR Strange is he's better as a cameo in other films, too much time on him I feel it ends up a bit convoluted borderline nonsensical but also easier as it's so easy to explain anything away.

This was far better than the first, the action, story, acting and effects were all a big improvement. However with marvel films I feel they have this ""living up to the buzz"" that trailers and other things they do create for films. In this respect it did not, the cameos whilst cool were short lived and I did pop for a couple overall after reading and watching so much I feel this promised way more than it delivered, but I guess that's what it's for, you'll always go and see it so the money is there, until disappointment turns to non attendance then there will be these feelings.

Do I like waiting for cut scenes? Not really, we're they that exciting? Well one had a new cool actress and one was literally mocking you for staying so no, got no excitement from that.

But key, does this make you want more dr strange? Answer for me is yes but only in cameos or spin offs with other people, him alone is a pass for me. I don't love the character, I don't really enjoy his variance of the universe and the people in his direct company.

There were the usual attempts at woke which always crop up now, par for the course but still sadly so blatant.

Overall it's a rainy Sunday film not a classic marvel you will rewatch. I'd definitely not watch it again. But I have to admit the standard of marvel films from ten rings to eternals to venom, the quality seems to be dropping, they almost need a new hot star to base a franchise around. Or stagger the films better so you don't have too many niche ones."
Came Close to Going Off the Rails,"Overall, I enjoyed this movie. It was a nice departure from the other Marvel movies. I was never a fan of the Dr. Strange comics, but the first movie was pretty good and this one is good, too.

My problem is there is so much going on and if you have not kept up with all the movies and TV shows, you might be lost if you just watched this movie alone. The special effects are awesome. But there are so many characters and plot lines running through this movie (as well as some of the TV shows for which it draws plot lines) that its really easy to get lost in it all. I'm not a fan of the multiverse plot, but so far it seems to be working. In a less masterful hand, this could have easily gone off the rails into a huge mess, but Raimi keeps up the pace and Cumberbatch is an outstanding actor so the movie manages to be chaotic, but not crazy.

I really hate what they did with Wanda/Scarlet Witch. I love Elizabeth Olsen and I always thought her character was fantastic in the movies and the WandaVision show. I know her character turns evil in the comics, but it seems like such a waste of the character to have her turn evil.

The cameos were a nice touch, but I think the movie would have been a bit tighter without them. Unless they plan on reusing these actors in ""our"" Marvel universe (also known as Earth 616), then they were extremely pointless.

Overall, I found the movie entertaining and fun to watch. The actors are all at the top of their game and Raimi does a great job of keeping everything moving forward."
DR STRANGE REALLY?,"Ok, We know Feige is MCU whitewashed Wanda fan but this is DR STRANGE MOVIE NOT WENDY MAXIMOFF. I'm sorry for benedict. Everyone said this movie is scary, it may be scary compared to other MCU movies, but believe me, it's not too much to exaggerate. The movie is only focused on fan service and wanda, even if the first half is good, it is broken and confused. I wish raimi only directed a movie with dr strange not wanda maximoff. It's all mcu's fault for making a bad movie after putting the fans in anticipation. The problem isn't that Wanda is strong, it's that STRANGE is ignored maybe he's the most important character in marvel right now."
Amazing movie,"As I said its a great movie. The only thing I didn't like is a certain scene which is kinda unrealistic, also there is a single plot mistake. Other than that amazing. Also the post-credit scene is not worth the waiting."
Please send me to an au where this movie does not exist,
Interesting,"I like first Doctor Strange and the character and personality find this second movie intersting. Amazing visual effects...and intersting story..but watch carefully because this Multiverse is really madness, if you miss something. Like the ending...definitely new movie of Doctor Strange is coming and new characters."
Like being on a rollercoaster,
Reed Richards,
I think the MCU is done...,"Honestly, every MCU movie after Endgame have felt lacking. I don't know what happened, but the writing has severely declined. No Way Home was OK, but Eternals was horrible. The rest was fairly mediocre.

This movie is a mess. Luckily, Sam Raimi manages to give us a few visually interesting sequences and some great humor. However, everything else felt like a Disney+ show.

The more I think of it, the worse it gets.

The next Thor and Guardians movies will most likely will be fine. I want to give Taika Waititi and James Gunn the benefit of the doubt, as Ragnarok and Gunn's films have been good.

Still, the MCU is not what it used to.

Shame."
Weird choices from Marvel,
Marvel Multiverse explosion with one question: Villain or hero?,"Doctor Strange (Benedict Cumberbatch) gets pulled into another story of the multiverse after the most recent ""Spider-Man: No Way Home"". This time Doctor Stranges faces a new adventure leading him through many dimensions of the multiverse with the innocent young girl and multiverse traveler America Chavez (Xochitl Gomez).

Their opponent is no other than the evil Scarlet Witch (Elizabeth Olsen) whose aim is to get the power to find her own gain and flight from all pain and sorrow she had faced as Wanda Maximoff. The journey through alternative universes unfolds a story of good and evil and choices.

Director Sam Raimi brings us into a multidimensional, fantastic movie experience from start to finish, with steady pacing, haunting chapters and rich visuals. The action scenes and demonstration of creative art could be just summarized as eye-candy. Recommended for everyone who likes to dive into the multiverse of Marvel - new fans and diehard ones alike."
Incredible in iMax 3D!!!,Do yourself A favor. See Dr. Strange In The Multiverse of Madness in iMax 3D! The 3D effects fits like a glove with this movie. The way it emerges you into the layers of multiple universes and stunning complex action/fight scenes is quite awesome. It creates an exciting layer that propels this movie forward. Normally I don't like 3D movies. I really only have seen two other movies that I liked in 3D. Avatar and Gravity. Everything else has been garbage. Now I've seen three! It's that much better in 3D. I saw Dr. Strange In The Multiverse of Madness first in 2D and it was kind of dull and underwhelming in that setting. After my iMax 3D experience I went from a rating of 6 to a rating of 8.5. It truly makes a difference!
Comicbook Movie,This felt like an actual comicbook movie. I could easily see them running it through a comicifier and taking screenshots every few seconds and printing it into a book.
"Terrible, another Marvel miss since Eternals","The plot line was all over the place, CGI was excellent in many scenes and felt very cheap in others. Much of the camera angles were cheesy, a telltale sign of a Raimi film

Direction: I was very disappointed, film was not even fun.

The film did not shy away from pushing a political agenda, which isn't necessarily bad, but certainly felt forced and cheesy.

Example; a character mentions that everything in a certain multiverse is free, and everything in most multiverses are free for that matter

It's generally best to keep politics out of a movie meant for such a broad audience, that will usually win over critics as well

Pacing: The fact that they cut 40 minutes of extra footage in an attempt to make this the best it could have been saddens me. Almost worth the price of admission just for some certain scenes that were graphically stunning, but do not go in there expecting a true Marvel movie because that is not what you are going to get. The movie tends to feel like it is dragging along and some scenes are much longer than they need to be and feel like nothing but fillers.

Plot and Contents: The movie starts off very intriguing and easily captivates your attention, and then suddenly once an endless amount of plot holes occur, suddenly the movie feels like something you have to watch rather than something you want to.

Marvel movies generally have some plot holes here and there, but this was just ridiculous.

The language and dialogue was essentially PG-13, but much of the violence is R and will shock many younger viewers

My overall review 4.7/10."
watchable,"Actually, I had a lot of expectations for the film before it was released, thanks to all the commercials and trailers that had me so excited. This film features all of Raimi's trademarks, including outstanding camera angles, editing, and colour grading, as well as the horrific tone that he is known for. Aside from the positive aspects of the film, it has a number of clumsy phrases and script. This film contains several story flaws. There are many aspects in this film that may be used in future films, but they just...throw it in weird ways that I never understand. As an MCU fan, this makes me really upset. As I have stated, without Raimi's directing approach, this will be far worse."
And breathe!,"Another marvel film where expectations were extremely high & I believe it was able to meet most of the expectations.

There were moments in this film which just made me smile, largely related to Wanda which I think surprises nobody! Especially a 10 minute sequence which is the most shocking comic book movie moment I've experienced in the cinema, if you've seen the film you'll know what I'm taking about

I also really appreciated America Chavez & Dr Strange's relationship development during this film and hope we get to see more of it going forward. A big shout out to Xochitl Gomez for her performance!

Sam Raimi brings a new flair to the MCU with some great horror aspects while Danny Elfman delivers a super soundtrack.

My one downside is the story is almost pointless at times, I feel like certain aspects could have been slowed down and developed more but I was never bored in this film due to the rapid pacing.

Benedict cumberbatch is now a powerhouse in the MCU while Lizzie Olsen just delivers every beat, continuing from her fantastic WandaVision performance, I wish she could be in every marvel project.

I'm pleased with the worldbuilding introduced and hope they are expanded in future features. I'm excited for what's to come!"
This is not Doctor Strange movie,"Watching the whole movie makes me quite confused about whether this is a Doctor Strange movie or a Wanda movie. There is not much in-depth description of Doctor Strange's feelings. Instead, we can learn about Wanda's emotional changes through this movie.

Before watching this movie, I will give you a few reminders:

1. Make sure you've finished watching Wandavision.

2. A lot of jump scares

3. If you are interested in the subject of the multiverse, then I suggest you watch Everything Everywhere All At Once, it is much better than this movie."
Gone Mad with this MULTIVERSE,
Dr. Boring in the Multi-mess of inconstancies,"God damn it. I'm quite positive in general about MCU movies, I think they are entertaining and have good production which don't make look cheap. But this was unfortunately not entertaining at all and felt really cheap, messy and inconsistent. The movie feel way too long for what it has to narrate. And the CGI, good lord, was really disturbing at some points. Sometime you see the style of Raimi, but it never really feel consistent with what you see."
Sam Raimi went wild!,"The whole story is more like a Wanda story where the whole entire movie is Wanda's arc and I love the arc that they gave her and I personally think that Elizabeth Olsen was the standout in this film. I love the way that they made Wanda look scary like an evil looking witch or more like a ghost. I love the weirdness, the goofiness that Sam Raimi did to this movie, and I though he did an excellent job of turning The Evil Dead movie into a PG-13 Marvel horror movie and show us how scary can Marvel movie be. Now there is some huge story problems here where the script felt rushed and I wish it has more complexity inside the story. Now let's talk about the title of the movie so called ""Multiverse of Madness"" it's more like ""the madness of Scarlet Witch"" now there is Multiverse but it doesn't have any madness inside of it, the madness is actually the madness that Wanda created. Now here's the small problem that I had is that the dialogue felt off, the pacing in some scene can feel disjointed, some small cgi problem and if you're expecting to see some more Doctor Strange stuff you'll might be dissappointed because they show us the Scarlet Witch stuff more than the Doctor Strange stuff.

Verdict: Now I had a lot of problems with this film but I still think the movie was great. I love the weirdness, the goofiness that Sam Raimi did. The standout here was Elizabeth Olsen as Scarlet Witch I thought she did an excellent job, I love the arc that they gave it to her and this time Scarlet Witch looks so so so scary.

Score: 8.6/10."
Sam Raimis direction takes the sequel in a fun mania path to madness.,"5 out of 5 stars.

Doctor Strange into the multiverse of Madness is an awesome sequel. That has awesome stunning visual effects. Story that is unexpected. Great cast ensemble. Unexpected villain. And awesome action sequences. The cast did great. The visual effects are astounding. Story goes in a dark path. There are some cameos that i at least was not surprised. Which could have been better.

There is one mid credit scene that hints for the future direction. Which was great. Overall, i love the film."
Awesome movie,"This one of the most unique MCU films to date. I admit it I didn't have high hopes for it, probably that's why it suprised me so much it is really different from the generic marvel stuff."
A mess that worth your time!,"An evil creature is threatening the civilians and especially a mysterious teenage girl, that Steve used to have dreams about her in which they were fighting alongside against a creepy monster, their journey continues in the multiverse after asking Wong and Wanda for help to stop this threat.

Madness, madness and madness, they mean it in the title.

I've just seen a mess that I can't tell if it's a good one or not, but it's definitely a nice try. The multiverse idea is huge and Marvel is trying to give us more hints about it, they created principles in this movie about the multiverse and about how it actually works,and following these principles in the next films is a must.

At first, when I saw the trailer I had the impression that it's going to be an iconic marvel Movie, but it turns out that the story isn't that coherent, but it's still quite interesting and very amusing which is the most important thing about a superhero movie.

This film is missed opportunity especially for Elizabeth Olsen, after her wonderful performances in ""Wanda Vision"" , she was stunning in this movie, as Cumberbatch was either, these two are the main reason that made me feel what is happening on my screen.

It could have been more better more consistent, but it's still enough for me.

Visually it's one of Marvel's best."
Madness,"Doctor Strange in the multiverse of madness, was a fantastic watch. Personally I was expecting it to be a bit better, but I did have high expectations for the film and maybe it let me down slightly but never the less it was still a gripping and fun watch for any marvel fan."
Worst of the worst,
Amazing film,
Good but needed more,"I won't go into a lot of details/spoilers here, so I'll keep it brief. The move is definitely enjoyable and also have a couple key appearances that excited the audience. That being said, I think trimming this movie down to under two hours was a mistake. The masses have shown they don't mind a 3-hour Marvel film, so let us have it. I think there was much more they could have done with the multiverse and the ending was a little lackluster. Like I said, it is enjoyable and I would watch it again. It just left me wanting more. Maybe that was the point? Maybe there are future plans for the multiverse that will keep audiences interested."
So much better after watching it a second time,
A Very Good Superhero Movie,"In Doctor Strange in the Multiverse of Madness, I praised the story, performances of Cumberbatch and Olsen, soundtrack, visual and sound effects, cinematography, action sequences, direction, screenplay, entertainment and production value, emotional weight, addition of horror and jump scares to the Marvel Cinematic Universe, and how it sets up for sequels and future movies in the future.

Regarding the flaws, the only two things that I criticized in Doctor Strange 2 are the number of subplots and the weak connection to Spider-Man No Way Home.

But these flaws won't prevent me from saying that I liked Doctor Strange 2 a lot, and I'm looking forward to see what happens in the future of this character. So when it comes to the score, I give Doctor Strange in the Multiverse of Madness 9 out of 10."
Better Then Expected,
"As a cinema , it's similar to magic 10/10","I watched this on IMAX 3d, so what i paid and what i saw on screen was just brilliant...it was worth every penny that i spent on it.

Now later on coming back home, if i think in little intellectual way then yes I may agree it was Wanda Maximoff in the multiverse and doctor strange was in it.

Doctor strange literally had no chance against Wanda.

But it was Directors and Marvels idea to go with the way they think...and what they thought and have put on an iMax screen isn't bad at all it's amazing, rather it isn't just a normal movie because , you get see such amazingly choreographed CGI, never seen before and visually magnificent.

So i have no complains at all. Such movies with huge fan base can never satisfy every fan. Avenger series was an acception.

I'm sure if i would have watched this on my laptop or tablet 1st time...impact wouldn't have been same as seeing a movie on an iMax screen. I am saying this as i see lot of movies on my tablet and laptop 😆😆"
A Mixed Bag,"Moments of fantastic Sam Raimi combined with hot steaming chunks of woke Disney garbage.

The script is a little slow getting off the ground, and the cameos and cross-overs add very little to the story.

But the final fight brings back great memories of older Sam Raimi flicks - the Army of Darkness and similar movies. Dark humor and comedic horror.

If only Disney could have kept their agenda out of this, it might have been a respectable addition to the Marvel canon. But overall a meh."
an amazing sam raimi original!,"Doctor strange in the multiverse of madness is a very thrilling movie that will have you at the edge of your seats. The acting is truly remarkable and the introduction of america chavez was written perfectly. Elizabeth as the scarlet witch totally stole the show with her crazy good performances and gave us her best work yet to the point where she as a villain outshined doctor strange. Strange went on a very exciting journey on this film and it was so much fun following him throughout the multiverse. I can't say too much about him without spoiling something so i will just say that if you missed stephen already you will be glad to have him back. This movie gave us a great introduction to the multiverse and got me extremely hyped for more. In terms of cameos, maybe lower your expectations a bit. Let's just say that i now understand what kevin feige meant when he said they they showed too much in the trailers! Unfortunately i also have to say that the movie felt very fast paced which is just so unnecessary. There was no reason for this movie to be the shortest phase 4 film so far. There was just one proper storyline, which was very will written and gripping to watch, but no other actual plots. I wish they would have given us sam raimi's original last cut instead. He did a phenomenal job! You could really tell that this was his movie, it is a raimi classic! The horror elements in the second half of the movie were exactly what i wanted them to be and more. They are unlike anything we have ever seen in the mcu so far. Same with the overall brutality that we got in certain scene (you will know exactly what i'm talking about once you've seen the movie). Overall, it's an amazingly well done movie that's far from perfection."
Madness of Wanda,"This movie is just amazing. The visuals of the movie is backbone of movie. Terrific visuals. Direction of Sam Raimi has rocked the screens and the execution of the movie is outstanding. Powerful performance by Elizabeth Olsen and her performance is the best among all , other actors has also done good acting. The film has many cameos like Professer X from X men and Captain Cartor and Rees Richards from Fantastic four and many more. This time story highlites 3 people Doctor Strange, Wanda and a new character America Chavez. America Chavez is a multiverse traveller and this time Wanda is the villain of the movie and in this movie we see her form of scarlet witch. It is a must watch movie and family friendly also but if you haven't watched Doctor Strange (2016) and the web series Wandavision it will be little difficult for you to understand movie."
Fairly to point but a nice addition to the MCU.,"I've watched every MCU film thus far. Some fare better than others. DSITMOM is a great middle of the pack MCU film that propels the characters into the next iteration of the Marvel Universe. It looks great, is fun and Sam Rami brings a nice horror flavor to this entry so it stands out a bit."
"Wow, just wow!","Just saw the movie and it was a crazy movie with great sound effects and digital cinematography. Just overall watching the movie was an experience (maybe it was the theatre I was in) but this a must see in the movie theatre.

Was not expecting watching a movie like this, very different from all the other Marvel movie franchises and definitely surprises watching the movies; must see!"
Magical 3d experience,"It does not have a appealing story with twist and turn, just a linear simple plot, most of the important scenes from the movie were already in the trailer. There were no jaw dropping action scenes but apart from that the 3d cinematic experience was really great..."
Pass on this one.,"Confusing, idiotic, and more interested in CGI than a solid story line. However, I have seen worse. But this is a slog fest reminiscent of a video game, not a great superhero movie. It's appalling that as of this writing it has a 7.1 rating. This is a solid 4."
"It was ok, The second half was the best part.","People rating this below 5 are actual dingbats. It was fun and entertaining, yeah it's all over the place but the title is literally multiverse of madness. Definitely not the worst of marvel movies, we have dark world for that. People who are rating this low probably loved endgame more than infinity war as well. Seriously buncha of complaining nincompoops. Your reviews aren't helpful, just mean and not constructive at all.

Is it perfect? No. Is it at least a rollercoaster of entertainment? Yes. See it or don't but I suggest you do and decide for yourself. Go in with the idea that it's a new phase in the MCU and you won't get to fawn and fall over your pretty boys. Sorry. But also not."
Marvel does comedy horror...,"The previous Dr. Strange film was really good but had the unfortunate timing of following a lot of Marvel origin films, making it feel samey. This follow up solves that problem by being absolutely nothing like any previous Marvel film, certainly in tone. Sam Raimi returns to Marvel to direct and his signature is absolutely all over this, with homages to films and characters from past projects galore. This film steps boldly into the comedy/horror genre that Raimi excels at, and my word does this film benefit from it, with genuine tension, jumpscares and some truly dark and twisted scenes that wouldn't be out of place in a horror film. To say any more would spoil it, but if you like the Evil Dead films and you like Marvel, this is an absolute no-brainer."
Burning trainwreck,"This movie is complete trash. Feminist, woke trash. Noisy, gory nonsense.

Dr. Strange a weak side character in his own movie.

I did not pay for this movie and still feel ripped off."
This was in fact Madness,
Before I even realized...,
Simply a bad story,
"Fun, but I have no idea what happened","The MCU is in a bit of a spiral, as one would expect after investing hugely in a massive series of inter-connecting stories that somehow manage to connect in a sensible way all the way to a satisfying conclusion. We are now several years past Endgame, and there is no indication that the MCU is going to be capable of pulling off that kind of massive storyline again.

In some ways, I'm ok with this. I've never been a comicbook fan, but my impression is that each comic is episodic and does not necessarily link to the rest in a way that would make sense. If the movies are going down that path, it only makes sense... though it also means it is easier for Disney to crank out stories to make money without making sure that there is a coherent universe. The MCU fits this style better than, say, Star Wars or Jurassic Park.

Back to Dr Strange. I really couldn't tell you what the plot was or what happened or how the characters grew. I enjoyed the spectacle, and I really enjoyed the horror elements Raimi brought to it. It felt darker and a bit more serious in tone than most other MCU films. Although I enjoyed it, I wouldn't say I would recommend it to anyone unless they just want to have a fun experience and switch their brain off.

Is it worth it? I watched it on Disney Plus. I'm glad I didn't spend money in a cinema to see it."
Another great Marvel Movie,As my title suggests another great marvel movie. Benedict Cumberbatch (Doctor strange) plays his multiple roles fantastically. And Elizabeth Olsen (Scarlet Witch) really shows her dark side. The special effects were fantastic can't wait to see what's next down the marvel pipeline.
Delivered on what the fans have been wanting!,"Great chaos and madness all around, well casted and great cameos and bringing back the Sam Raimi! Couldn't have asked for a better sequel! Scarlet Witch is here and don't mess with her! Perfect amount of speed and story telling and really don't have anything negative to say except for the waste of the second post credit scene so just watch the first post credit scene and you are good to go!"
An entertaining but ultimately failed mashup of two movies,
Good visuals and Scarlet Witch makes it mere average,"The movie relies on its visual effects to progress from beginning to end which is the main highlight of the whole movie. Good visuals have helped in covering majority of the drawbacks the script has created. Although the movie is not enjoyable as a whole it still has its moments including Gargantos fight,Strange V Strange and much more. Elizabeth Olsen's Scarlet witch is the only acting performance worth praise, she has literally nailed her role.

The film however suffers from a lot of cons which pulls it back. Wastage of multiverse along with its potential characters is a cardinal sin and this one sadly is filled with it. Mediocre script, horror sequences and climax is another factor that reduces the whole impact of this flick. Good actors wasted is another hard thing to watch and the film at times relies too much on it for entertainment. Useless post credits is another disappointing factor of this event. Last but not the least the background score of the whole movie looks wasted except for Strange V Strange sequence.

In the end a hardly average MCU movie making it a forgettable one.

Rating:58/100."
Great concept - average execution,"I love the idea of this film. Dr Strange battling mythical beings and different versions of Marvel characters across multiple universes? I'm in! But sadly this to me almost felt slightly B grade.

The CGI personally I was not impressed with. Many moments I felt I was watching CGI that felt like it was made in the early 2010's.

The dialogue, which definitely attributed to the poor acting, was often painful at times. Very cringey lines delivered poorly by a multitude of characters. I almost can't blame the actors for trying, but the children in this movie, including the lead, were absolutely terrible, and I'm really not exaggerating here.

There were fun moments don't get me wrong, some good horror aspects, the enjoyment seeing the different characters in the multiple universes; but this wasn't enough to make up for the overall finish of the film.

Overall, some enjoyable moments and fun scenes; but some cheesy dialogue, poor CGI and some really bad performances."
Don't watch,
The Dumbing down of Superheros,
Exciting from beginning to end,"I thought the movie was great. Very exciting

Cameo with Bruce Campbell was funny. In the second half they seemed to slow down the story somewhat. Added a couple long drawn out fight scenes. But over all, great.

Rachel McAdams is a pretty woman, but she had a huge mole on the side of her face that I couldn't stop seeing. They kept the camera on the side where the mole was for the whole scene. You would think that it could be easily removed. For the rest of the movie her hair was down and you couldn't see it."
Multiverse of plotholes,"The cracks in the MCU are starting to notice more and more. I don't know what causes it, but the scripts are getting worse and worse in phase 4. It's inexplicable how a new superhero could be introduced in this film without explaining where her powers come from and with almost zero character development."
Benedict Cumberbatch fights Carrie and The Evil Dead,"Recipe for this film was simple. Take a bazillion dollars worth of insanely good special effects, and give it to a horror movie icon on a magic mushroom high. Nowhere near as endearing or self explanatory as most instalments in the MCU, this was just a wild ride of sight, sound and scares held together by a great cast and wicked CGI doing their best to overcome a weak script and ridiculous plot.

If you've ever had sex on a roller coaster and wondered what you should be cheering about more while simultaneously confused AF, you will really appreciate this movie. If not, it's still a great way to ingest some popcorn and check your brain at the door for 2 hours."
Keep it simple,Off late MCU movies are getting incredibly complex with plots that need advanced degrees in astrophysics to understand . They need to understand that most folks are just looking for 2 hours of enjoyment. Keep the plots simple will ya going forwards?
A nice movie,"An film extremely entertaining, enjoyable, full of interesting characters and spectacular action, with horror elements as well. Absolutely recommended."
Sam Raimi had to make a version of his Wandavision & what if!,This is more like madness of Wanda maximoff and Disney had to introduce a bunch of characters so they threw them in and turned on the blender. Whatever came out is whatever we got! The main plot of this movie has already been explored and well narrated by the Wandavision series but dragged on for 2 hours. Off late Disney has been running out of idea and we can see that very clearly with this and it's star wars endeavour. If my wallet was on the line for this I'd have felt violated for being tricked to walk into this cash grab attempt by Disney. Extremely dissatisfying movie.
It's was alright....ig,"This movie had no story only carried by cameos, it was shortest mcu film Yes it was entertaining film but what can you say mcu is just entertaining at this point a theme park ride with no story no plot no nothing.

Thing I liked about this film it was a horror film Sam Rami master of horror genre made a good flick and the acting was also good.

But come on marvel plz go back to story driven film like Instead of being lazy and using cameos as audience reaction."
Enjoyed it,"I mean, it's the MCU...honestly I rate them pretty much all the same. I love good food and fine restaurants, but sometimes I just want a Big Mac and fries. The MCU is the McDonald's of the movie world. Trying to pick it apart is silly. Wanda and Strange are good protagonists, it's fun, it looks great, and the multiverse lets them throw in all sorts of cameos, cross-overs and alternate versions of characters. Anybody who gives this less than a 6 is kidding themselves, and no amount of ""unhelpful' votes will convince me otherwise."
Idk what's going on,
"Enjoyable, if Somewhat Disappointing","The build up to this film's release was interesting. The trailers were great but once I heard that Sam Raimi was forced into 3+ months of reshoots, the runtime was only 2h and 6m and that the ending wasn't even written yet when filming started I was worried. Though it wasn't nearly as bad as some other comic-book films that have suffered from reshoots (i.e. Fan4stic, Suicide Squad, Justice League, etc) it was still obvious. Many plot points, characters and especially the first act felt very rushed. Which is most likely due to the original runtime being 2h and 43m. However my favorite aspect about the film was Sam Raimi's direction, even with the reshoots his style managed to come through well. In fact there are a lot horror elements which were very reminiscent of the Evil Dead Films. Benedict Cumberbatch remains great as the title character and Elizabeth Olsen is the best she's ever been as Scarlett Witch. Overall, Multiverse of Madness was entertaining but still was a little bit disappointing even with my expectations lowered due to what I had heard going in."
Doctor Strange in the Multiverse of Madting,
I've enjoyed the mess!,"The actions were perfectly made but the script is weak and some super heroes were brought to embarrass themselves. America Chavez was always watching the actions , hoping to be saved. Was enjoyable as I watched 3d, otherwise could be boring."
"A Big, Dumb Mess","I had high expectations for this Doctor Strange sequel. Unfortunately, In the Multiverse of Madness failed to meet any of my expectations. It's big, colorful, and absolutely stupid. There's nothing in the movie that feels original. It takes concepts that were introduced in WandaVision, Loki, and Spider-Man No Way Home and does nothing to build upon them. The plot also relies too heavily on shock factor cameos that add nothing to the story. Cameos are fine, but they need to contribute to the plot in a meaningful way. Which they did not in this film. Sam Raimi, the director, who is most famous for directing the original Spider-Man trilogy, shows that he hasn't grown at all as a director since Spider-Man 3. This is essentially a Tobey Maguire Spider-Man movie starring Doctor Strange. It feels so off. The score is bad, the dialogue is at times cringe worthy, and surprisingly the CGI was very underwhelming. The story was rushed and at times felt outright dumb. Luckily, it's not all bad. As always, Elizabeth Olsen as Wanda is amazing. She really carries the film. Her performance makes it worth the trip to the theater. Cumberbatch and Rachael McAdams are both good too. The action, while visually lacking at times (messy CGI), was still entertaining. I think my biggest problem with this film is that it bites off more than it can chew. It tries to be too many things. It has a lot of interesting ideas, but it's all too rushed and poorly put together. Raimi tried to add in horror elements, but it ended up being more laughable than scary, and not in the good way. It's just a mess, but an entertaining mess at that. It's not bad, but for the MCU it's definitely underwhelming. Ultimately I don't think Sam Raimi was up for the task. MCU fans will enjoy this film, but it is deeply flawed."
Very Fast Paced but Enjoyable,Honestly the only two parts of this movie that I really didn't like it was Benedict Cumberbatch's severe wig line and Rachel McAdam's chunky Austin Powers heels.
Apparently Disney is intent on ruining everything they touch,"The story is poorly put together and shoehorns in so much unnecessary moments. Everytime you think it can't get worse they found a way. Effects were ok, that was about it."
Wow!!!!!!,If you were hesitant on seeing this movie because of certain stuff you will see in this movie trust me you will regret not seeing it. This movie is amazing it's not everything it could have been but for what it is it's awesome exploring the multiverse was one of the coolest sequences I have ever seen. Sam rami knocked it out of the park with him being back in the director's chair.
Character development? What's that?,
a huge confusion,It is obvious that the film had extended reshoots and a change of script.. woth plot holes that make no sense e to appear on the first 5 minutes.. great scary directing though.. you can see how the director is a king on making horror films..
